,序号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
0,1,00759,CEC INT'L HOLD,0.45,0.322,251.56,0.128,0.56,0.128,0.128,144330200.0,55920474.0
1,2,08066,品创控股,0.68,0.255,60.0,0.425,0.7,0.425,0.425,8635000.0,5178800.0
2,3,01847,云南建投混凝土,0.84,0.31,58.49,0.54,1.1,0.54,0.53,23089000.0,20700080.0
3,4,06118,奥星生命科技,1.07,0.29,37.18,0.79,1.08,0.79,0.78,5119000.0,5003610.0
4,5,08040,快意智能,0.35,0.09,34.62,0.27,0.35,0.27,0.26,230000.0,66900.0
5,6,00893,中国铁钛,0.1,0.023,29.87,0.077,0.118,0.077,0.077,68304000.0,6986281.0
6,7,00185,正商实业,0.143,0.032,28.83,0.111,0.143,0.11,0.111,450001.0,55728.0
7,8,02680,创陞控股,4.1,0.9,28.13,3.44,4.1,3.44,3.2,86600.0,322612.0
8,9,01217,中国创新投资,0.014,0.003,27.27,0.011,0.014,0.011,0.011,376096000.0,4643960.0
9,10,01727,河北建设,0.57,0.12,26.67,0.45,0.62,0.45,0.45,3586500.0,1892782.0
10,11,00984,永旺,0.49,0.1,25.64,0.365,0.79,0.36,0.39,9162000.0,5174747.0
11,12,02545,中赣通信,0.52,0.105,25.3,0.42,0.54,0.42,0.415,25702000.0,12971220.0
12,13,00865,建德国际控股,0.045,0.009,25.0,0.038,0.048,0.038,0.036,2432000.0,107868.0
13,14,08100,名科国际,0.131,0.025,23.58,0.13,0.131,0.12,0.106,144000.0,17886.0
14,15,09689,金泰丰国际控股,0.5,0.095,23.46,0.47,0.5,0.41,0.405,224000.0,106140.0
15,16,02112,恩典生命科技,0.079,0.015,23.44,0.057,0.094,0.057,0.064,21230000.0,1641204.0
16,17,01011,泰凌医药,0.74,0.14,23.33,0.6,0.74,0.6,0.6,5075850.0,3460177.0
17,18,01948,优矩控股,6.56,1.2,22.39,5.34,6.59,5.15,5.36,2799000.0,16514000.0
18,19,01795,亚东集团,0.79,0.14,21.54,0.63,0.79,0.62,0.65,8877000.0,5754780.0
19,20,00248,香港通讯国际控股,0.034,0.006,21.43,0.029,0.035,0.029,0.028,10809875.0,349518.0
20,21,02998,铁货(旧),0.8,0.14,21.21,0.66,0.8,0.66,0.66,1600.0,1180.0
21,22,00602,佳华百货控股,0.046,0.008,21.05,0.042,0.066,0.042,0.038,37722500.0,1899602.0
22,23,08076,新利软件,0.029,0.005,20.83,0.029,0.029,0.024,0.024,140000.0,4035.0
23,24,03836,和谐汽车,0.85,0.13,18.06,0.72,0.9,0.7,0.72,12515000.0,9445330.0
24,25,08612,维亮控股,0.094,0.014,17.5,0.084,0.109,0.084,0.08,160000.0,15520.0
25,26,01676,高地股份,0.7,0.1,16.67,0.59,0.73,0.59,0.6,4086400.0,2739216.0
26,27,03339,中国龙工,2.79,0.39,16.25,2.61,3.55,2.6,2.4,821684000.0,2552901952.0
27,28,02477,经纬天地,8.55,1.15,15.54,8.51,8.8,7.86,7.4,12674300.0,105312011.0
28,29,02798,久泰邦达能源,0.9,0.12,15.38,0.78,0.92,0.77,0.78,9360000.0,7918150.0
29,30,01029,铁货(新),0.76,0.1,15.15,0.68,0.79,0.68,0.66,2527600.0,1888204.0
30,31,00747,渖阳公用发展股份,0.061,0.008,15.09,0.054,0.09,0.054,0.053,22863000.0,1488282.0
31,32,08239,首都金融控股,1.53,0.2,15.04,1.32,1.74,1.11,1.33,617500.0,862200.0
32,33,08637,元续科技,1.15,0.15,15.0,1.02,1.17,1.0,1.0,260000.0,285040.0
33,34,01473,环联连讯,0.212,0.027,14.59,0.185,0.217,0.185,0.185,13936000.0,2821880.0
34,35,00840,天业节水,0.206,0.026,14.44,0.18,0.248,0.18,0.18,6040000.0,1291428.0
35,36,08210,衍汇亚洲,0.048,0.006,14.29,0.042,0.048,0.042,0.042,650000.0,28580.0
36,37,02668,百德国际,0.188,0.023,13.94,0.165,0.188,0.16,0.165,38410000.0,6686360.0
37,38,08445,怡康泰工程集团,0.132,0.016,13.79,0.13,0.132,0.13,0.116,60000.0,7800.0
38,39,01137,香港科技探索,1.91,0.23,13.69,1.68,1.93,1.68,1.68,10609806.0,19478334.0
39,40,08368,中国创意控股,1.0,0.12,13.64,0.85,1.0,0.76,0.88,930000.0,786500.0
40,41,00521,CWT INT'L,0.159,0.019,13.57,0.139,0.165,0.138,0.14,44053750.0,6522476.0
41,42,00222,闽信集团,3.35,0.4,13.56,3.1,3.44,3.09,2.95,704000.0,2295780.0
42,43,01265,天津津燃公用,0.227,0.027,13.5,0.206,0.238,0.206,0.2,3260000.0,707280.0
43,44,01338,霸王集团,0.059,0.007,13.46,0.05,0.059,0.049,0.052,4760000.0,256158.0
44,45,01660,兆邦基生活,0.154,0.018,13.24,0.154,0.154,0.154,0.136,8000.0,1232.0
45,46,01802,文业集团,0.043,0.005,13.16,0.039,0.043,0.038,0.038,4514000.0,179234.0
46,47,00860,APOLLO出行,0.8,0.09,12.68,0.72,0.86,0.72,0.71,1284600.0,985210.0
47,48,01981,华夏控股,1.8,0.2,12.5,1.6,1.8,1.51,1.6,4831000.0,8053210.0
48,49,00181,闽港控股,0.09,0.01,12.5,0.085,0.092,0.085,0.08,440000.0,39140.0
49,50,08107,细叶榕科技,0.275,0.03,12.24,0.233,0.275,0.232,0.245,245000.0,57135.0
50,51,02576,太美医疗科技,4.21,0.45,11.97,3.76,4.39,3.76,3.76,607000.0,2564706.0
51,52,01740,新石文化,0.066,0.007,11.86,0.062,0.066,0.062,0.059,480000.0,31325.0
52,53,08471,新达控股,0.085,0.009,11.84,0.08,0.086,0.08,0.076,2570000.0,211950.0
53,54,02197,三叶草生物-B,0.52,0.055,11.83,0.46,0.53,0.455,0.465,12398000.0,6199215.0
54,55,01470,富一国际控股,0.076,0.008,11.76,0.077,0.086,0.07,0.068,1108000.0,80100.0
55,56,02560,海螺材料科技,2.2,0.23,11.68,1.97,2.26,1.97,1.97,5973000.0,12694940.0
56,57,08173,客思控股,0.115,0.012,11.65,0.112,0.122,0.105,0.103,3660000.0,409380.0
57,58,03818,中国动向,0.48,0.05,11.63,0.43,0.48,0.43,0.43,43678000.0,20125770.0
58,59,00975,MONGOL MINING,8.5,0.88,11.55,7.64,9.55,7.64,7.62,82111600.0,725360048.0
59,60,03300,中国玻璃,0.39,0.04,11.43,0.355,0.395,0.35,0.35,7512000.0,2863330.0
60,61,01402,超智能控股,0.265,0.027,11.34,0.228,0.265,0.228,0.238,1060000.0,249530.0
61,62,08283,中食民安,0.81,0.08,10.96,0.73,0.87,0.73,0.73,135000.0,105870.0
62,63,00727,皇冠环球集团,1.43,0.14,10.85,1.43,1.43,1.43,1.29,11000.0,15525.0
63,64,00546,阜丰集团,7.9,0.77,10.8,7.88,8.33,7.07,7.13,35494993.0,273270576.0
64,65,09958,力天影业,0.147,0.014,10.53,0.133,0.148,0.133,0.133,7314000.0,1010467.0
65,66,01518,新世纪医疗,0.84,0.08,10.53,0.82,0.84,0.82,0.76,11500.0,9620.0
66,67,01431,原生态牧业,0.32,0.03,10.34,0.29,0.325,0.285,0.29,8798000.0,2714910.0
67,68,08169,环康集团,0.032,0.003,10.34,0.03,0.032,0.03,0.029,160000.0,4800.0
68,69,03931,中创新航,21.15,1.97,10.27,19.16,21.9,19.06,19.18,9277300.0,194528666.0
69,70,01373,国际家居零售,0.97,0.09,10.23,0.88,1.03,0.87,0.88,16474769.0,15987232.0
70,71,00178,莎莎国际,0.65,0.06,10.17,0.6,0.67,0.6,0.59,24970226.0,15764609.0
71,72,00269,中国资源交通,0.011,0.001,10.0,0.01,0.011,0.01,0.01,16200060.0,167620.0
72,73,08360,简朴新生活,0.44,0.04,10.0,0.41,0.44,0.38,0.4,92000.0,36910.0
73,74,08123,华亿金控,0.011,0.001,10.0,0.01,0.011,0.01,0.01,38199672.0,386533.0
74,75,02326,新源万恒控股,0.011,0.001,10.0,0.011,0.011,0.01,0.01,2060000.0,22600.0
75,76,09893,比优集团,0.56,0.05,9.8,0.55,0.59,0.54,0.51,680000.0,386400.0
76,77,01203,广南(集团),1.14,0.1,9.62,1.04,1.14,1.03,1.04,4804399.0,5251083.0
77,78,01058,南粤控股,0.4,0.035,9.59,0.365,0.4,0.365,0.365,78000.0,29870.0
78,79,02992,资本界金控,0.92,0.08,9.52,0.79,1.1,0.79,0.84,3095000.0,3011450.0
79,80,00180,开达集团,0.27,0.023,9.31,0.244,0.27,0.244,0.247,154000.0,37932.0
80,81,01171,兖矿能源,9.4,0.8,9.3,8.65,9.5,8.58,8.6,222907214.0,2054950640.0
81,82,00601,稀镁科技,0.094,0.008,9.3,0.086,0.098,0.086,0.086,2900000.0,270230.0
82,83,08356,进业控股,0.54,0.045,9.09,0.54,0.55,0.54,0.495,10000.0,5380.0
